name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0856p3155,NGC2683,134.108,31.9172,278.9,18.95,0.11,18.38,0.11,-10.91,-11.25,0.12,6.61,0.13,24.32,0.15,437.5,39.0,True,True,1.0,gr,DECALS,nan,9.4,9.6000907093558,25.8668513648428,133.17211034566,33.42183268931,9.4,nan,1.0
dw0846p3300,NGC2683,131.5588,32.9974,232.2,18.34,0.1,17.7,0.1,-11.52,-11.9,0.11,6.98,0.13,26.71,0.14,1747.7,134.0,True,False,0.9,gr,DECALS,nan,9.4,38.349893374917,28.2642954857745,133.17211034566,33.42183268931,9.4,nan,1.0
dw0846p3348,NGC2683,131.6301,33.8106,220.0,18.42,0.1,17.9,0.1,-11.44,-11.75,0.11,6.75,0.14,25.57,0.14,910.2,71.1,True,False,0.95,gr,DECALS,nan,9.4,19.9725772403563,26.9276452286844,133.17211034566,33.42183268931,9.4,nan,1.0
dw0852p3249,NGC2683,133.1987,32.8288,97.6,20.29,0.15,19.72,0.14,-9.58,-9.91,0.15,6.06,0.17,24.98,0.22,352.8,47.3,True,False,0.7,gr,DECALS,nan,9.4,7.74151314997941,26.7396039608984,133.17211034566,33.42183268931,9.4,nan,1.0
dw0854p3314,NGC2683,133.5854,33.2493,63.5,19.1,0.11,18.47,0.11,-10.77,-11.13,0.12,6.65,0.14,25.45,0.16,598.4,55.4,True,False,0.9,gr,DECALS,nan,9.4,13.1307297756946,26.6969190009678,133.17211034566,33.42183268931,9.4,nan,1.0
dw0929p2213,NGC2903,142.4777,22.2181,139.5,20.59,0.16,20.17,0.16,-9.18,-9.42,0.17,5.64,0.18,25.77,0.24,415.9,62.0,False,True,1.0,gr,DECALS,nan,9.0,9.53172587301148,27.4913324007,143.042129,21.500831,9.0,nan,1.0
dw0930p1959,NGC2903,142.554,19.9913,247.8,16.65,0.09,16.28,0.09,-13.12,-13.34,0.09,7.13,0.13,23.61,0.11,556.5,32.0,False,True,1.0,gr,DECALS,nan,9.0,12.7540405033577,24.1837136410072,143.042129,21.500831,9.0,nan,1.0
dw0930p2143,NGC2903,142.6666,21.724,65.1,18.96,0.08,18.72,0.07,-10.81,-10.95,0.09,5.98,0.11,23.3,0.06,270.5,21.5,False,True,1.0,gr,CFHT,nan,9.0,6.19940334144879,24.9272241469801,143.042129,21.500831,9.0,nan,1.0
dw0932p1952,NGC2903,143.0991,19.8754,255.5,19.33,0.12,18.75,0.11,-10.44,-10.78,0.12,6.44,0.14,24.17,0.17,309.0,30.6,True,True,1.0,gr,DECALS,nan,9.0,7.08175834503437,25.5861801966919,143.042129,21.500831,9.0,nan,1.0
UGC5086,NGC2903,143.2034,21.4656,24.2,15.74,0.08,15.15,0.06,-14.03,-14.37,0.08,7.88,0.13,22.38,0.13,728.9,30.3,True,True,1.0,gr,CFHT,nan,9.0,16.7051574383101,23.8597275468162,143.042129,21.500831,9.0,nan,1.0
dw0933p2030,NGC2903,143.3069,20.5152,159.6,17.39,0.09,16.93,0.1,-12.39,-12.65,0.1,6.99,0.13,22.53,0.12,443.9,28.3,True,True,1.0,gr,DECALS,nan,9.0,10.1734386020933,24.432813523787,143.042129,21.500831,9.0,nan,1.0
dw0936p2135,NGC2903,144.0891,21.5993,153.8,17.84,0.1,17.4,0.1,-11.93,-12.19,0.1,6.78,0.13,22.74,0.13,341.4,23.6,False,True,1.0,gr,DECALS,nan,9.0,7.82431164655362,24.312705383273,143.042129,21.500831,9.0,nan,1.0
M82,M81,148.9683,69.6797,38.8,nan,nan,nan,nan,nan,-19.75,nan,10.35,nan,nan,nan,nan,nan,False,True,1.0,nan,nan,nan,3.61,nan,nan,148.88821939854,69.06529514038,3.61,NGC3031,0.0
NGC3077,M81,150.8296,68.7339,48.7,10.13,0.08,9.58,0.09,-17.66,-17.98,0.09,9.27,0.13,16.47,0.11,1144.8,53.6,False,True,1.0,gr,DECALS,nan,3.61,65.4105103258107,21.2137123690569,148.88821939854,69.06529514038,3.61,NGC3031,0.0
NGC2976,M81,146.8146,67.9164,86.8,10.36,0.08,9.73,0.09,-17.43,-17.79,0.09,9.3,0.13,19.87,0.11,1266.2,59.4,False,True,1.0,gr,DECALS,nan,3.61,72.3469492963721,21.6625757949688,148.88821939854,69.06529514038,3.61,NGC3031,0.0
IC2574,M81,157.1413,68.4328,192.7,11.12,0.08,10.76,0.09,-16.66,-16.88,0.09,8.54,0.13,22.72,0.11,3286.6,154.8,False,True,1.0,gr,DECALS,yes,3.61,187.786627400316,24.4937979927108,148.88821939854,69.06529514038,3.61,NGC3031,0.0
ddo82,M81,157.6524,70.6183,214.0,12.9,0.08,12.32,0.09,-14.88,-15.22,0.09,8.21,0.13,21.62,0.11,1055.6,50.4,False,True,1.0,gr,DECALS,nan,3.61,60.313884561989,23.8075611839398,148.88821939854,69.06529514038,3.61,NGC3031,0.0
kdg61,M81,149.2612,68.5917,31.0,14.95,0.09,14.3,0.09,-12.84,-13.22,0.09,7.51,0.13,23.74,0.11,1001.5,50.4,True,True,1.0,gr,DECALS,nan,3.61,57.222769572542,25.7433190505289,148.88821939854,69.06529514038,3.61,NGC3031,0.0
BK5N,M81,151.1679,68.2556,73.0,16.87,0.09,16.28,0.09,-10.91,-11.26,0.09,6.65,0.13,24.73,0.12,456.6,27.0,True,True,1.0,gr,DECALS,nan,3.61,26.0887839418838,25.9577438622809,148.88821939854,69.06529514038,3.61,NGC3031,0.0
IKN,M81,152.0246,68.3992,83.1,14.07,0.09,13.54,0.09,-13.71,-14.03,0.09,7.67,0.12,23.69,0.11,1144.9,55.9,True,True,1.0,gr,DECALS,yes,3.61,65.4162240317803,25.1539020421377,148.88821939854,69.06529514038,3.61,NGC3031,0.0
FM1,M81,146.2917,68.765,61.8,15.9,0.09,15.23,0.09,-11.89,-12.28,0.09,7.17,0.13,24.49,0.11,749.4,40.1,True,True,1.0,gr,DECALS,nan,3.61,42.818516227473,26.063632750686,148.88821939854,69.06529514038,3.61,NGC3031,0.0
kdg64,M81,151.7579,67.8275,102.4,14.77,0.09,14.11,0.09,-13.02,-13.4,0.09,7.6,0.13,23.15,0.11,956.5,47.8,True,True,1.0,gr,DECALS,nan,3.61,54.6516018167624,25.4634891590913,148.88821939854,69.06529514038,3.61,NGC3031,0.0
f8d1,M81,146.1962,67.4386,120.2,16.42,0.09,15.88,0.09,-11.37,-11.68,0.09,6.73,0.13,26.22,0.11,1019.7,57.2,True,True,1.0,gr,DECALS,yes,3.61,58.2626640820961,27.2524263768514,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d1014p68,M81,153.7325,68.7575,111.5,18.89,nan,nan,nan,-8.9,-9.1,0.11,5.61,0.22,27.29,0.15,344.8,30.2,True,True,1.0,CH09/CH13,nan,nan,3.61,19.7008601046347,27.3679006172495,148.88821939854,69.06529514038,3.61,NGC3031,0.0
KK77,M81,147.5417,67.5067,103.1,15.18,0.09,14.41,0.09,-12.61,-13.06,0.09,7.63,0.13,24.25,0.11,954.2,48.6,True,True,1.0,gr,DECALS,nan,3.61,54.5201865754485,25.8682613486334,148.88821939854,69.06529514038,3.61,NGC3031,0.0
kdg63,M81,151.2804,66.555,168.2,15.01,0.09,14.35,0.09,-12.78,-13.17,0.09,7.51,0.13,23.72,0.11,716.2,36.2,True,True,1.0,gr,DECALS,nan,3.61,40.9215657329634,25.0752358929791,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d0958p66,M81,149.7021,66.8497,141.0,15.42,0.09,15.03,0.09,-12.37,-12.59,0.09,6.87,0.13,21.56,0.11,228.8,11.8,False,True,1.0,gr,DECALS,nan,3.61,13.0729605557186,23.0073444357867,148.88821939854,69.06529514038,3.61,NGC3031,0.0
ddo78,M81,156.6163,67.6567,200.3,13.87,0.09,13.25,0.09,-13.92,-14.28,0.09,7.89,0.12,24.26,0.11,1395.9,67.8,True,True,1.0,gr,DECALS,nan,3.61,79.7576256759853,25.3843357661291,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d1028p70,M81,157.1654,70.2336,195.7,15.53,0.09,15.19,0.09,-12.26,-12.46,0.09,6.74,0.13,21.74,0.11,303.0,15.8,False,True,1.0,gr,DECALS,nan,3.61,17.3125307883953,23.7272774755016,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d0955p70,M81,148.8067,70.4081,84.6,18.39,nan,nan,nan,-9.4,-9.6,0.1,5.83,0.22,26.46,0.13,325.5,25.2,True,True,1.0,CH09/CH13,nan,nan,3.61,18.5981147511036,26.7428192967257,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d1041p70,M81,160.32,70.1508,260.1,18.89,nan,nan,nan,-8.9,-9.1,0.11,5.61,0.22,26.16,0.15,190.8,16.7,True,True,1.0,CH09/CH13,nan,nan,3.61,10.9017520762604,26.0829561879077,148.88821939854,69.06529514038,3.61,NGC3031,0.0
HS117,M81,155.355,71.1161,189.6,16.47,0.09,15.87,0.09,-11.32,-11.67,0.09,6.82,0.13,24.37,0.11,558.7,31.5,True,True,1.0,gr,DECALS,nan,3.61,31.9224782078042,25.9959576775531,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d0944p71,M81,146.1433,71.4825,163.2,15.93,0.09,15.25,0.09,-11.85,-12.25,0.09,7.17,0.13,23.49,0.11,399.8,21.4,True,True,1.0,gr,DECALS,nan,3.61,22.8433986704829,24.7292782781221,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d0926p70,M81,141.6163,70.5067,182.5,18.39,nan,nan,nan,-9.4,-9.6,0.1,5.83,0.22,25.73,0.13,250.3,19.4,False,True,1.0,CH09/CH13,nan,nan,3.61,14.3014074573176,26.1723685826508,148.88821939854,69.06529514038,3.61,NGC3031,0.0
HO1,M81,145.1346,71.1864,156.0,13.46,0.09,13.13,0.09,-14.33,-14.53,0.09,7.56,0.12,24.08,0.11,1470.3,70.8,False,True,1.0,gr,DECALS,nan,3.61,84.0086226748201,25.0870940041819,148.88821939854,69.06529514038,3.61,NGC3031,0.0
d0934p70,M81,143.5154,70.2158,138.3,17.59,0.1,17.18,0.1,-10.2,-10.44,0.1,6.03,0.13,25.58,0.12,489.2,32.3,True,True,1.0,gr,DECALS,nan,3.61,27.9514522433298,26.8274965666185,148.88821939854,69.06529514038,3.61,NGC3031,0.0
dw1000m0741,NGC3115,150.0039,-7.6875,230.2,17.46,0.09,16.87,0.1,-12.59,-12.93,0.1,7.3,0.13,23.53,0.12,611.5,40.1,True,True,1.0,gr,DECALS,nan,10.2,12.365777340097,24.9265817930681,151.308029,-7.718606,10.2,nan,1.0
dw1000m0821,NGC3115,150.0436,-8.3574,250.3,15.87,0.09,15.29,0.09,-14.18,-14.51,0.09,7.91,0.13,21.87,0.11,957.7,50.9,True,True,1.0,gr,DECALS,nan,10.2,19.3666474865057,24.310746919527,151.308029,-7.718606,10.2,nan,1.0
dw1000m0831,NGC3115,150.2289,-8.5305,238.9,20.3,0.15,19.77,0.14,-9.75,-10.05,0.15,6.06,0.17,25.02,0.21,418.8,62.6,True,True,1.0,gr,DECALS,nan,10.2,8.46899027526876,26.9446328526218,151.308029,-7.718606,10.2,nan,1.0
dw1001m0631,NGC3115,150.3901,-6.5249,267.4,15.7,0.09,15.37,0.09,-14.35,-14.54,0.09,7.55,0.13,22.72,0.11,911.4,48.0,False,True,1.0,gr,DECALS,nan,10.2,18.4303670503239,24.0331446042612,151.308029,-7.718606,10.2,nan,1.0
dw1001m0814,NGC3115,150.4092,-8.2487,184.5,14.82,0.09,14.42,0.09,-15.22,-15.46,0.09,8.03,0.13,21.72,0.11,1422.4,71.3,False,True,1.0,gr,DECALS,nan,10.2,28.7638292651032,24.1197081928628,151.308029,-7.718606,10.2,nan,1.0
dw1002m0818,NGC3115,150.5043,-8.31,176.5,20.09,0.14,19.5,0.13,-9.96,-10.3,0.15,6.24,0.16,24.11,0.2,271.3,34.0,True,True,1.0,gr,DECALS,nan,10.2,5.48623940408244,25.791848457104,151.308029,-7.718606,10.2,nan,1.0
dw1002m0642,NGC3115,150.657,-6.7083,213.5,21.0,0.19,20.54,0.19,-9.04,-9.31,0.19,5.65,0.21,25.98,0.29,324.4,54.8,True,True,1.0,gr,DECALS,nan,10.2,6.56002971803899,27.0900037157715,151.308029,-7.718606,10.2,nan,1.0
dw1004m0737,NGC3115,150.9948,-7.6409,57.0,18.92,0.11,18.42,0.11,-11.12,-11.42,0.11,6.57,0.14,25.92,0.14,979.4,89.3,True,True,1.0,gr,DECALS,nan,10.2,19.8054657468196,27.4093999805455,151.308029,-7.718606,10.2,nan,1.0
dw1004m0657,NGC3115,151.1572,-6.9585,137.9,19.1,0.12,18.53,0.12,-10.94,-11.28,0.13,6.63,0.14,25.63,0.17,713.9,71.9,True,True,1.0,gr,DECALS,nan,10.2,14.4365142097409,26.9027863950553,151.308029,-7.718606,10.2,nan,1.0
dw1005m0744,NGC3115,151.3961,-7.7498,16.5,15.73,0.09,15.13,0.09,-14.32,-14.67,0.09,8.02,0.13,23.04,0.11,1150.0,60.4,True,True,1.0,gr,DECALS,nan,10.2,23.2553457038323,24.5680886813752,151.308029,-7.718606,10.2,nan,1.0
dw1005m0758,NGC3115,151.4233,-7.9817,51.0,13.03,0.08,12.32,0.09,-17.01,-17.42,0.09,9.28,0.13,20.55,0.11,1488.3,74.7,True,True,1.0,gr,DECALS,nan,10.2,30.0964616626437,22.4280518821769,151.308029,-7.718606,10.2,nan,1.0
dw1006m0730,NGC3115,151.5528,-7.5001,58.1,18.43,0.1,17.82,0.1,-11.62,-11.97,0.11,6.96,0.13,23.45,0.14,396.8,30.8,True,True,1.0,gr,DECALS,nan,10.2,8.02410539976082,24.9574578051233,151.308029,-7.718606,10.2,nan,1.0
dw1006m0732,NGC3115,151.6109,-7.549,61.4,19.17,0.12,18.63,0.11,-10.87,-11.19,0.12,6.53,0.14,24.7,0.16,436.6,41.2,True,True,1.0,gr,DECALS,nan,10.2,8.82894258357679,25.9050181443475,151.308029,-7.718606,10.2,nan,1.0
dw1006m0730-n2,NGC3115,151.6404,-7.5096,69.5,19.49,0.12,18.95,0.11,-10.55,-10.87,0.12,6.42,0.14,24.79,0.17,545.8,63.8,True,True,1.0,gr,DECALS,nan,10.2,11.0371893276682,26.7097671434049,151.308029,-7.718606,10.2,nan,1.0
dw1007m0835,NGC3115,151.8142,-8.5859,178.3,21.1,0.19,20.47,0.18,-8.94,-9.31,0.2,5.94,0.22,25.01,0.3,247.5,44.5,True,True,1.0,gr,DECALS,nan,10.2,5.00495485648404,26.6024755047298,151.308029,-7.718606,10.2,nan,1.0
dw1007m0715,NGC3115,151.8343,-7.2632,123.3,17.36,0.09,16.82,0.1,-12.69,-13.0,0.1,7.25,0.13,23.41,0.12,722.5,45.2,True,True,1.0,gr,DECALS,nan,10.2,14.6104237514007,25.1887887423193,151.308029,-7.718606,10.2,nan,1.0
dw1007m0830,NGC3115,151.9464,-8.5042,179.5,19.89,0.13,19.42,0.13,-10.15,-10.43,0.14,6.12,0.15,24.54,0.19,393.1,46.1,True,True,1.0,gr,DECALS,nan,10.2,7.94928385250886,26.3971147068334,151.308029,-7.718606,10.2,nan,1.0
dw1006m0630,NGC3115,151.5634,-6.5057,220.6,21.3,0.2,20.83,0.21,-8.74,-9.02,0.21,5.56,0.23,25.84,0.32,208.8,40.5,True,False,0.65,gr,DECALS,nan,10.2,4.22236191552724,26.4332519601558,151.308029,-7.718606,10.2,nan,1.0
dw1006m0827,NGC3115,151.6488,-8.4648,145.8,20.18,0.14,19.67,0.14,-9.87,-10.16,0.15,6.08,0.16,25.3,0.21,380.2,49.1,True,False,0.65,gr,DECALS,nan,10.2,7.68841953910064,26.6146600504495,151.308029,-7.718606,10.2,nan,1.0
dw1042p2415,NGC3344,160.5916,24.2505,123.6,17.24,0.09,16.73,0.09,-12.72,-13.02,0.1,7.23,0.13,23.78,0.12,697.5,43.5,True,True,1.0,gr,DECALS,nan,9.82,14.6506824964772,25.0747639647593,160.879792,24.922219,9.82,nan,1.0
dw1042p2501,NGC3344,160.6815,25.025,35.4,20.79,0.17,20.35,0.17,-9.17,-9.43,0.18,5.68,0.19,25.66,0.26,364.4,58.3,True,True,1.0,gr,DECALS,nan,9.82,7.6540626641489,27.214934749191,160.879792,24.922219,9.82,nan,1.0
dw1045p2427,NGC3344,161.3793,24.4657,110.4,19.8,0.13,19.31,0.13,-10.16,-10.45,0.14,6.16,0.15,25.12,0.19,437.2,49.9,True,True,1.0,gr,DECALS,nan,9.82,9.18319483010669,26.6204436736365,160.879792,24.922219,9.82,nan,1.0
dw1038p2501,NGC3344,159.5427,25.0283,208.5,20.2,0.15,19.77,0.14,-9.76,-10.01,0.15,5.9,0.16,23.99,0.21,168.4,21.9,True,False,0.15,gr,DECALS,nan,9.82,3.53716836747516,24.9487533442882,160.879792,24.922219,9.82,nan,1.0
dw1044p2559,NGC3344,161.1198,25.9934,187.3,18.71,0.11,18.26,0.11,-11.25,-11.51,0.11,6.53,0.13,21.54,0.15,230.2,19.3,False,False,0.15,gr,DECALS,nan,9.82,4.83525034515112,24.137569504754,160.879792,24.922219,9.82,nan,1.0
dw1044p2610,NGC3344,161.1213,26.1782,218.5,20.38,0.15,19.73,0.14,-9.58,-9.96,0.16,6.23,0.17,25.04,0.23,422.1,58.4,True,False,0.75,gr,DECALS,nan,9.82,8.86602593312417,27.1241196681176,160.879792,24.922219,9.82,nan,1.0
dw1045p2606,NGC3344,161.2758,26.1048,211.7,20.12,0.14,19.63,0.14,-9.84,-10.13,0.15,6.03,0.16,23.79,0.21,205.9,26.1,True,False,0.2,gr,DECALS,nan,9.82,4.32483947047387,25.3053246414548,160.879792,24.922219,9.82,nan,1.0
dw1039p1238,NGC3379,159.929,12.6348,369.8,16.51,0.09,16.01,0.09,-13.64,-13.93,0.09,7.56,0.13,21.22,0.11,610.0,34.6,False,True,1.0,gr,DECALS,nan,10.7,11.7590216518149,23.8673306318929,161.956667,12.581631,10.7,nan,0.0
UGC5812,NGC3379,160.2355,12.4728,314.5,15.0,0.09,14.58,0.09,-15.15,-15.4,0.09,8.03,0.12,21.72,0.11,1458.0,73.6,False,True,1.0,gr,DECALS,nan,10.7,28.1059893128036,24.2494690656619,161.956667,12.581631,10.7,nan,0.0
dw1042p1220,NGC3379,160.5015,12.3351,269.4,15.39,0.09,14.97,0.09,-14.75,-15.0,0.09,7.88,0.13,21.1,0.11,1063.1,54.9,False,True,1.0,gr,DECALS,nan,10.7,20.4934686728739,23.9535520427981,161.956667,12.581631,10.7,nan,0.0
dw1042p1208,NGC3379,160.6431,12.1509,252.8,17.0,0.09,16.38,0.09,-13.15,-13.51,0.09,7.59,0.13,24.68,0.12,1247.9,75.1,True,True,1.0,gr,DECALS,nan,10.7,24.0558738830597,25.9115803729204,161.956667,12.581631,10.7,nan,0.0
dw1042p1359,NGC3379,160.6886,13.9905,349.9,20.81,0.17,20.28,0.17,-9.34,-9.65,0.18,5.9,0.19,24.77,0.26,276.5,44.5,True,True,1.0,gr,DECALS,nan,10.7,5.3301139172549,26.4491571369118,161.956667,12.581631,10.7,nan,0.0
dw1043p1410,NGC3379,160.7948,14.1799,365.7,19.81,0.13,19.45,0.13,-10.34,-10.55,0.14,6.01,0.15,24.77,0.19,321.1,36.8,True,True,1.0,gr,DECALS,nan,10.7,6.18987189402437,25.7738829863722,161.956667,12.581631,10.7,nan,0.0
dw1043p1415,NGC3379,160.9572,14.2554,361.6,19.77,0.13,19.16,0.12,-10.38,-10.73,0.14,6.47,0.15,24.36,0.19,402.9,45.6,True,True,1.0,gr,DECALS,nan,10.7,7.76673742034384,26.2266677951072,161.956667,12.581631,10.7,nan,0.0
M95,NGC3379,160.9904,11.7037,240.9,nan,nan,nan,nan,nan,-20.49,nan,10.42,nan,nan,nan,nan,nan,False,True,1.0,nan,nan,nan,10.7,nan,nan,161.956667,12.581631,10.7,nan,0.0
dw1044p1359,NGC3379,161.1075,13.9988,306.4,20.55,0.16,19.99,0.15,-9.6,-9.93,0.17,6.07,0.18,25.13,0.24,331.3,48.6,True,True,1.0,gr,DECALS,nan,10.7,6.38649815774072,26.5817886379075,161.956667,12.581631,10.7,nan,0.0
dw1044p1356,NGC3379,161.1471,13.9396,293.3,16.03,0.09,15.51,0.09,-14.12,-14.42,0.09,7.79,0.13,21.85,0.11,696.6,37.7,True,True,1.0,gr,DECALS,nan,10.7,13.4284171802553,23.6755988067348,161.956667,12.581631,10.7,nan,0.0
dw1044p1351,NGC3379,161.1588,13.8591,279.3,19.47,0.12,18.96,0.12,-10.68,-10.97,0.13,6.4,0.14,24.64,0.17,351.0,36.2,True,True,1.0,gr,DECALS,nan,10.7,6.76625672586558,25.6272170407418,161.956667,12.581631,10.7,nan,0.0
dw1044p1351b,NGC3379,161.1602,13.8557,278.6,19.76,0.13,19.29,0.13,-10.39,-10.66,0.13,6.21,0.15,25.21,0.19,384.1,43.3,True,True,1.0,gr,DECALS,nan,10.7,7.40432822854945,26.1129029940847,161.956667,12.581631,10.7,nan,0.0
dw1044p1154,NGC3379,161.2394,11.9162,180.5,17.37,0.09,17.08,0.1,-12.77,-12.95,0.1,6.86,0.13,22.57,0.12,565.8,36.0,False,True,1.0,gr,DECALS,nan,10.7,10.9069745108255,24.5639961727725,161.956667,12.581631,10.7,nan,0.0
dw1046p1257,NGC3379,161.559,12.9606,101.3,18.55,0.11,17.96,0.1,-11.6,-11.94,0.11,6.92,0.13,24.31,0.14,478.8,38.5,True,True,1.0,gr,DECALS,nan,10.7,9.22986814627968,25.3814521664141,161.956667,12.581631,10.7,nan,0.0
dw1046p1401,NGC3379,161.6027,14.0242,277.0,17.05,0.09,16.46,0.09,-13.1,-13.44,0.09,7.52,0.13,23.97,0.12,834.0,50.7,True,True,1.0,gr,DECALS,nan,10.7,16.0770886038984,25.0865117079829,161.956667,12.581631,10.7,nan,0.0
dw1046p1145,NGC3379,161.626,11.7557,165.6,17.94,0.1,17.31,0.1,-12.21,-12.57,0.1,7.23,0.13,24.29,0.13,676.1,42.6,True,True,1.0,gr,DECALS,nan,10.7,13.0332369456136,25.5207361359822,161.956667,12.581631,10.7,nan,0.0
dw1046p1219,NGC3379,161.6722,12.327,70.4,16.6,0.09,15.97,0.09,-13.54,-13.92,0.09,7.78,0.13,22.83,0.11,799.1,46.6,True,True,1.0,gr,DECALS,nan,10.7,15.404318351927,24.5436871084872,161.956667,12.581631,10.7,nan,0.0
M96,NGC3379,161.6907,11.8199,150.3,nan,nan,nan,nan,nan,-20.96,nan,10.59,nan,nan,nan,nan,nan,False,True,1.0,nan,nan,nan,10.7,nan,nan,161.956667,12.581631,10.7,nan,0.0
dw1046p1244,NGC3379,161.7204,12.7421,52.4,17.86,0.1,17.45,0.1,-12.29,-12.53,0.1,6.88,0.13,25.1,0.13,1616.1,112.0,False,True,1.0,gr,DECALS,nan,10.7,31.1536963402942,27.3330225940076,161.956667,12.581631,10.7,nan,0.0
dw1046p1247,NGC3379,161.7275,12.7886,56.9,18.4,0.1,17.77,0.1,-11.75,-12.12,0.11,7.05,0.13,23.86,0.14,504.6,39.2,True,True,1.0,gr,DECALS,nan,10.7,9.72721693038573,25.3454176884896,161.956667,12.581631,10.7,nan,0.0
