host,ID,ra,dec,re
NGC5457,[MVA2014] DF 4,211.89083,54.71089,28.0
NGC5457,[MVA2014] DF 5,211.1171,55.6167,38.0
NGC5457,[MVA2014] DF 6,212.07792,55.19183,22.0
NGC5457,[MVA2014] DF 7,211.44792,55.13258,20.0
NGC253,NGC247,11.7834,-20.757,
NGC253,dw0047m2623,11.8939,-26.3898,
NGC253,dw0049m2100,12.4537,-21.0167,
NGC253,dw0050m2444,12.5749,-24.7367,
NGC253,dw0055m2309,13.7538,-23.1688,
NGC253,dw0036m2828,9.1273,-28.4701,
NGC628,dw0132p1422,23.2486,14.3736,
NGC628,dw0133p1543,23.4842,15.7314,
NGC628,dw0134p1544,23.5537,15.7463,
NGC628,dw0134p1438,23.6741,14.6444,
NGC628,dw0136p1628,24.0842,16.4701,
NGC628,dw0137p1537,24.3236,15.6329,
NGC628,dw0137p1607,24.4156,16.132,
NGC628,dw0138p1458,24.5024,14.9825,
NGC628,UGC1171,24.9366,15.8993,
NGC628,dw0139p1433,24.9611,14.5563,
NGC628,dw0140p1556,25.0395,15.9394,
NGC628,UGC1176,25.043,15.9054,
NGC628,dw0143p1541,25.9012,15.6937,
NGC628,dw0141p1651,25.4173,16.8721,
NGC891,dw0221p4221,35.301,42.364,
NGC891,UGC1807,35.3058,42.7629,
NGC891,dw0222p4242,35.7298,42.7123,
NGC891,dw0223p4314,35.8921,43.2395,
NGC891,dw0224p4158,36.0968,41.9747,
NGC891,dw0225p4153,36.3192,41.8915,
NGC891,dw0226p4206,36.669,42.1111,
NGC1023,dw0235p3850,38.976,38.8362,
NGC1023,IC239,39.1162,38.969,
NGC1023,dw0237p3855,39.3276,38.9331,
NGC1023,dw0237p3836,39.4144,38.6003,
NGC1023,dw0239p3903,39.8432,39.0554,
NGC1023,UGC2157,40.1044,38.563,
NGC1023,dw0240p3903,40.1544,39.0593,
NGC1023,dw0240p3922,40.1649,39.3792,
NGC1023,dw0241p3904,40.2512,39.0727,
NGC1023,UGC2165,40.3145,38.7441,
NGC1023,dw0238p3805,39.6703,38.0849,
NGC1023,dw0241p3829,40.4758,38.4983,
NGC1023,dw0243p3915,40.979,39.2557,
NGC1291,dw0309m4104,47.3549,-41.0826,
NGC1291,dw0309m4101,47.4093,-41.0312,
NGC1291,dw0310m4000,47.5432,-40.0035,
NGC1291,dw0315m4040,48.7908,-40.6674,
NGC1291,dw0317m4142,49.256,-41.7001,
NGC1291,dw0317m4058,49.3725,-40.9728,
NGC1291,dw0317m4141,49.4083,-41.6962,
NGC1291,dw0318m4101,49.6796,-41.024,
NGC1291,dw0318m4211,49.6961,-42.1993,
NGC1291,dw0319m4126,49.9305,-41.448,
NGC1291,dw0320m4048,50.1412,-40.8048,
NGC1291,dw0321m4159,50.3521,-41.9982,
NGC1291,dw0323m4040,50.8173,-40.6777,
NGC1291,dw0325m4113,51.4098,-41.2304,
NGC1291,dw0312m3955,48.038,-39.9179,
NGC1291,dw0315m4112,48.9422,-41.2017,
NGC1291,dw0316m4207,49.1818,-42.1284,
NGC1291,dw0321m4149,50.4853,-41.8184,
NGC1808,NGC1792,76.3077,-37.979,
NGC1808,dw0506m3739,76.6002,-37.6499,
NGC1808,dw0507m3629,76.7765,-36.4834,
NGC1808,dw0507m3739,76.853,-37.6518,
NGC1808,dw0507m3744,76.9674,-37.7385,
NGC1808,dw0507m3800,76.9808,-38.0125,
NGC1808,dw0508m3818,77.0318,-38.3098,
NGC1808,dw0508m3617,77.1269,-36.2869,
NGC1808,dw0508m3808,77.1369,-38.1405,
NGC1808,NGC1827,77.5208,-36.9611,
NGC1808,dw0502m3845,75.6394,-38.7649,
NGC1808,dw0506m3800,76.5346,-38.0103,
NGC1808,dw0507m3733,76.8724,-37.5541,
NGC1808,dw0510m3717,77.7102,-37.2859,
NGC2683,dw0848p3226,132.166,32.4442,
NGC2683,dw0852p3347,133.2006,33.799,
NGC2683,dw0853p3318,133.3617,33.3052,
NGC2683,dw0855p3336,133.7936,33.6155,
NGC2683,dw0855p3333,133.8454,33.5572,
NGC2683,dw0856p3155,134.108,31.9172,
NGC2683,dw0846p3300,131.5588,32.9974,
NGC2683,dw0846p3348,131.6301,33.8106,
NGC2683,dw0852p3249,133.1987,32.8288,
NGC2683,dw0854p3314,133.5854,33.2493,
NGC2903,dw0929p2213,142.4777,22.2181,
NGC2903,dw0930p1959,142.554,19.9913,
NGC2903,dw0930p2143,142.6666,21.724,
NGC2903,dw0932p1952,143.0991,19.8754,
NGC2903,UGC5086,143.2034,21.4656,
NGC2903,dw0933p2030,143.3069,20.5152,
NGC2903,dw0936p2135,144.0891,21.5993,
M81,M82,148.9683,69.6797,
M81,NGC3077,150.8296,68.7339,
M81,NGC2976,146.8146,67.9164,
M81,IC2574,157.1413,68.4328,
M81,ddo82,157.6524,70.6183,
M81,kdg61,149.2612,68.5917,
M81,BK5N,151.1679,68.2556,
M81,IKN,152.0246,68.3992,
M81,FM1,146.2917,68.765,
M81,kdg64,151.7579,67.8275,
M81,f8d1,146.1962,67.4386,
M81,d1014p68,153.7325,68.7575,
M81,KK77,147.5417,67.5067,
M81,kdg63,151.2804,66.555,
M81,d0958p66,149.7021,66.8497,
M81,ddo78,156.6163,67.6567,
M81,d1028p70,157.1654,70.2336,
M81,d0955p70,148.8067,70.4081,
M81,d1041p70,160.32,70.1508,
M81,HS117,155.355,71.1161,
M81,d0944p71,146.1433,71.4825,
M81,d0926p70,141.6163,70.5067,
M81,HO1,145.1346,71.1864,
M81,d0934p70,143.5154,70.2158,
NGC3115,dw1000m0741,150.0039,-7.6875,
NGC3115,dw1000m0821,150.0436,-8.3574,
NGC3115,dw1000m0831,150.2289,-8.5305,
NGC3115,dw1001m0631,150.3901,-6.5249,
NGC3115,dw1001m0814,150.4092,-8.2487,
NGC3115,dw1002m0818,150.5043,-8.31,
NGC3115,dw1002m0642,150.657,-6.7083,
NGC3115,dw1004m0737,150.9948,-7.6409,
NGC3115,dw1004m0657,151.1572,-6.9585,
NGC3115,dw1005m0744,151.3961,-7.7498,
NGC3115,dw1005m0758,151.4233,-7.9817,
NGC3115,dw1006m0730,151.5528,-7.5001,
NGC3115,dw1006m0732,151.6109,-7.549,
NGC3115,dw1006m0730-n2,151.6404,-7.5096,
NGC3115,dw1007m0835,151.8142,-8.5859,
NGC3115,dw1007m0715,151.8343,-7.2632,
NGC3115,dw1007m0830,151.9464,-8.5042,
NGC3115,dw1006m0630,151.5634,-6.5057,
NGC3115,dw1006m0827,151.6488,-8.4648,
NGC3344,dw1042p2415,160.5916,24.2505,
NGC3344,dw1042p2501,160.6815,25.025,
NGC3344,dw1045p2427,161.3793,24.4657,
NGC3344,dw1038p2501,159.5427,25.0283,
NGC3344,dw1044p2559,161.1198,25.9934,
NGC3344,dw1044p2610,161.1213,26.1782,
NGC3344,dw1045p2606,161.2758,26.1048,
NGC3379,dw1039p1238,159.929,12.6348,
NGC3379,UGC5812,160.2355,12.4728,
NGC3379,dw1042p1220,160.5015,12.3351,
NGC3379,dw1042p1208,160.6431,12.1509,
NGC3379,dw1042p1359,160.6886,13.9905,
NGC3379,dw1043p1410,160.7948,14.1799,
NGC3379,dw1043p1415,160.9572,14.2554,
NGC3379,M95,160.9904,11.7037,
NGC3379,dw1044p1359,161.1075,13.9988,
NGC3379,dw1044p1356,161.1471,13.9396,
NGC3379,dw1044p1351,161.1588,13.8591,
NGC3379,dw1044p1351b,161.1602,13.8557,
NGC3379,dw1044p1154,161.2394,11.9162,
NGC3379,M96,161.6907,11.8199,
NGC3379,NGC3377,161.9264,13.9858,
NGC3379,NGC3384,162.0705,12.6292,
NGC3379,dw1048p1154,162.1039,11.9123,
NGC3379,dw1048p1259,162.2174,12.9954,
NGC3379,dw1048p1407,162.224,14.1245,
NGC3379,UGC5944,162.5791,13.2719,
NGC3379,dw1050p1236,162.6486,12.6093,
NGC3379,NGC3412,162.722,13.4121,
NGC3379,dw1051p1320,162.7563,13.3336,
NGC3379,dw1051p1250,162.8378,12.849,
NGC3379,dw1051p1406,162.8807,14.1149,
NGC3379,dw1052p1102,163.0812,11.0433,
NGC3379,dw1040p1216,160.1211,12.2728,
NGC3379,dw1043p1253,160.9016,12.8988,
NGC3379,dw1043p1207,160.9792,12.1333,
NGC3379,dw1044p1132,161.0306,11.5344,
NGC3379,dw1045p1315,161.2789,13.2652,
NGC3379,dw1046p1342,161.6272,13.7011,
NGC3379,dw1046p1118,161.7075,11.3037,
NGC3379,dw1047p1117,161.7845,11.2853,
NGC3379,dw1047p1145,161.949,11.7622,
NGC3379,dw1048p1121,162.096,11.3523,
NGC3379,dw1049p1121,162.4042,11.3512,
NGC3379,dw1049p1057,162.4172,10.9555,
NGC3379,dw1051p1101,162.7661,11.02,
NGC3379,dw1054p1217,163.7206,12.2967,
NGC3521,dw1104p0004,166.1606,0.0815,
NGC3521,dw1104p0003,166.1676,0.0581,
NGC3521,dw1104p0005,166.1711,0.0936,
NGC3521,dw1105p0006,166.4217,0.1163,
NGC3521,dw1106m0126,166.5313,-1.4476,
NGC3521,dw1106m0052,166.6084,-0.8797,
NGC3521,dw1107m0038,166.776,-0.6338,
NGC3521,dw110m0011,166.8051,-0.1869,
NGC3521,dw1109m0016,167.3283,-0.2771,
NGC3521,dw1110p0037,167.6231,0.6169,
NGC3521,dw1111p0049,167.8493,0.8315,
NGC3521,dw1104p0033,166.2068,0.5506,
NGC3556,dw1119p5543,169.9523,55.7224,
NGC3556,dw1104p5534,166.1661,55.5745,
NGC3556,dw1108p5520,167.2484,55.3412,
NGC3556,dw1109p5447,167.305,54.7856,
NGC3556,dw1110p5429,167.6471,54.4973,
NGC3556,dw1111p5631,167.9472,56.532,
NGC3556,dw1111p5547,167.9859,55.7993,
NGC3556,dw1113p5529,168.2805,55.4926,
NGC3556,dw1113p5541,168.293,55.6886,
NGC3556,dw1113p5644,168.3996,56.7355,
NGC3556,dw1116p5551,169.0317,55.8617,
NGC3556,dw1116p5537,169.1718,55.6168,
NGC3556,dw1122p5515,170.7418,55.262,
NGC3556,dw1123p5602,170.832,56.0487,
NGC3627,NGC3593,168.6539,12.8178,
NGC3627,dw1114p1238,168.6877,12.6477,
NGC3627,dw1117p1305,169.2544,13.0993,
NGC3627,dw1118p1233,169.6759,12.5614,
NGC3627,dw1118p1348,169.7234,13.8054,
NGC3627,NGC3623,169.733,13.0924,
NGC3627,dw1119p1419,169.8029,14.3272,
NGC3627,dw1119p1157,169.8098,11.9524,
NGC3627,dw1119p1417,169.8161,14.2901,
NGC3627,dw1119p1404,169.8397,14.0755,
NGC3627,dw1120p1332,170.0666,13.5488,
NGC3627,NGC3628,170.0707,13.5897,
NGC3627,dw1120p1337,170.2549,13.6072,
NGC3627,dw1121p1326,170.4037,13.4471,
NGC3627,dw1122p1258,170.6002,12.9795,
NGC3627,IC2782,170.7307,13.4413,
NGC3627,dw1123p1342,170.806,13.7141,
NGC3627,IC2787,170.8296,13.6298,
NGC3627,IC2791,170.9066,12.896,
NGC3627,dw1124p1240,171.1445,12.6743,
NGC3627,dw1114p1307,168.7127,13.1316,
NGC3627,dw1116p1356,169.0325,13.9412,
NGC3627,dw1116p1324,169.0973,13.4101,
NGC3627,dw1117p1250,169.4349,12.8369,
NGC3627,dw1118p1330,169.5661,13.5139,
NGC3627,dw1119p1210,169.8996,12.177,
NGC3627,dw1120p1223,170.2214,12.3918,
NGC3627,dw1121p1129,170.2651,11.487,
NGC3627,dw1121p1411,170.372,14.1967,
NGC3627,dw1123p1346,170.9852,13.7781,
NGC3627,dw1125p1316,171.4794,13.269,
NGC3627,dw1126p1246,171.5894,12.7713,
NGC4258,NGC4248,184.4591,47.4092,
NGC4258,LVJ1218+4655,184.5465,46.9172,
NGC4258,dw1219p4743,184.7757,47.7302,
NGC4258,UGC7356,184.7875,47.0899,
NGC4258,dw1220p4729,185.1256,47.4906,
NGC4258,dw1220p4649,185.2286,46.8302,
NGC4258,dw1223p4739,185.9424,47.6589,
NGC4258,dw1223p4644,185.9542,46.7495,
NGC4517,dw1227p0136,186.9438,1.5998,
NGC4517,dw1231p0140,187.766,1.6758,
NGC4517,dw1232p0015,188.1505,0.2625,
NGC4517,dw1236m0025,189.1755,-0.4305,
NGC4517,dw1238p0028,189.5586,0.4771,
NGC4517,dw1238m0035,189.7051,-0.5978,
NGC4517,dw1238m0105,189.7086,-1.0868,
NGC4517,dw1239m0039,189.7608,-0.6644,
NGC4517,NGC4592,189.8273,-0.5318,
NGC4565,dw1234p2531,188.6007,25.5221,
NGC4565,NGC4562,188.8948,25.8503,
NGC4565,IC3571,189.0835,26.0843,
NGC4565,dw1237p2602,189.2549,26.036,
NGC4565,dw1234p2618,188.7398,26.3141,
NGC4565,dw1235p2616,188.843,26.2706,
NGC4565,dw1236p2634,189.2441,26.5786,
NGC4565,dw1237p2605,189.3618,26.0855,
NGC4565,dw1237p2637,189.4283,26.6243,
M104,dw1237m1125,189.2985,-11.4332,
M104,dw1239m1159,189.7877,-11.9867,
M104,dw1239m1143,189.8136,-11.7189,
M104,dw1239m1113,189.8866,-11.2268,
M104,dw1239m1120,189.9645,-11.3413,
M104,dw1239m1144,189.9787,-11.746,
M104,dw1240m1118,190.0392,-11.3139,
M104,dw1240m1140,190.0733,-11.6793,
M104,dw1241m1131,190.2617,-11.5288,
M104,dw1241m1153,190.3002,-11.8916,
M104,dw1241m1155,190.3281,-11.9254,
M104,dw1238m1122,189.6402,-11.3681,
M104,dw1238m1102,189.7429,-11.036,
M104,dw1242m1116,190.6825,-11.2739,
M104,dw1242m1129,190.7067,-11.4893,
NGC4631,dw1236p3336,189.2059,33.6131,
NGC4631,dw1239p3230,189.7713,32.5046,
NGC4631,dw1239p3251,189.8317,32.8608,
NGC4631,dw1240p3216,190.2209,32.2822,
NGC4631,dw1240p3247,190.2437,32.7904,
NGC4631,dw1241p3251,190.4464,32.8577,
NGC4631,NGC4627,190.4987,32.574,
NGC4631,dw1242p3237,190.5255,32.6219,
NGC4631,dw1242p3158,190.6308,31.9692,
NGC4631,dw1243p3228,190.8534,32.4821,
NGC4631,NGC4656,190.9905,32.1681,
NGC4631,dw1248p3158,192.2187,31.9702,
NGC4631,dw1247p3313,191.9083,33.2331,
NGC4736,dw1231p4205,187.7873,42.0942,
NGC4736,IC3687,190.5626,38.5034,
NGC4736,dw1243p4127,190.9798,41.4575,
NGC4736,dw1243p4339,190.9898,43.6618,
NGC4736,dw1249p4421,192.3797,44.3595,
NGC4736,dw1251p4138,192.7698,41.6353,
NGC4736,dw1255p4035,193.7615,40.5902,
NGC4736,dw1234p3952,188.5929,39.8785,
NGC4736,dw1241p4103,190.254,41.053,
NGC4736,dw1242p4115,190.5471,41.2525,
NGC4736,dw1303p4222,195.8097,42.3733,
NGC4736,dw1305p4206,196.499,42.1062,
NGC4736,dw1308p4054,197.1913,40.901,
NGC4736,dw1311p4051,197.9217,40.863,
NGC4826,UGC7929,191.3366,21.4271,
NGC4826,IC3840,192.9417,21.7349,
NGC4826,dw1252p2215,193.0237,22.2654,
NGC4826,dw1255p1912,193.921,19.2096,
NGC4826,dw1258p2329,194.7139,23.4899,
NGC4826,dw1300p1843,195.1295,18.7177,
NGC4826,IC4107,195.6741,21.9979,
NGC4826,dw1245p2309,191.2591,23.1657,
NGC4826,dw1251p2324,192.8683,23.4009,
NGC5055,dw1310p4153,197.6743,41.8908,
NGC5055,dw1312p4158,198.0772,41.9755,
NGC5055,dw1312p4032,198.2159,40.5432,
NGC5055,UGCA337,198.244,41.7864,
NGC5055,dw1313p4202,198.4161,42.0431,
NGC5055,UGC8313,198.4754,42.2092,
NGC5055,dw1315p4123,198.8158,41.3967,
NGC5055,dw1315p4130,198.8742,41.5022,
NGC5055,dw1321p4226,200.3708,42.4334,
NGC5055,dw1305p4206-n2,196.499,42.1062,
NGC5055,dw1308p4054-n2,197.1913,40.901,
NGC5055,dw1311p4051-n2,197.9217,40.8631,
NGC5055,dw1315p4304,198.7521,43.0849,
NGC5055,dw1323p4058,200.935,40.9728,
CENA,KK189,198.1875,-41.8319,
CENA,ESO269-066,198.2875,-44.89,
CENA,NGC5011C,198.2958,-43.2656,
CENA,KK196,200.4458,-45.0633,
CENA,KK197,200.5042,-42.5356,
CENA,KKS55,200.55,-42.7308,
CENA,CENA-MM-DW4,200.7583,-41.7861,
CENA,dw1323-40b,201.0,-40.8367,
CENA,dw1323-40,201.2421,-40.7622,
CENA,CENA-MM-DW6,201.4875,-41.0942,
CENA,CENA-MM-DW7,201.6167,-43.5567,
CENA,ESO324-024,201.9042,-41.4806,
CENA,KK203,201.8667,-45.3525,
CENA,dw1329-45,202.3121,-45.1767,
CENA,CENA-MM-DW1,202.5583,-41.8933,
CENA,CENA-MM-DW3,202.5875,-42.1925,
CENA,CENA-MM-DW9,203.2542,-42.53,
CENA,CENA-MM-DW8,203.3917,-41.6078,
CENA,dw1336-44,204.2033,-43.8578,
CENA,NGC5237,204.4127,-42.8469,
CENA,KKS57,205.4083,-42.5819,
CENA,dw1341-43,205.4025,-43.8554,
NGC5194,NGC5195,202.4983,47.2661,
NGC5194,dw1330p4731,202.6411,47.5257,
NGC5236,dw1335-29,203.9417,-29.7067,
NGC5236,dw1340-30,205.0792,-30.3597,
NGC5236,KK200,201.15,-30.9717,
NGC5236,IC4247,201.6875,-30.3625,
NGC5236,ESO444-84,204.3333,-28.0442,
NGC5236,IC4316,205.075,-28.8947,
NGC5236,ESO444-78,204.1292,-29.2342,
NGC5236,KK208,204.15,-29.5708,
NGC5236,NGC5264,205.4042,-29.9131,
NGC5236,KK218,206.6667,-29.9781,
NGC5236,HIJ1337-33,204.2542,-33.3631,
NGC5457,dw1350p5441,207.7431,54.6892,
NGC5457,UGC8837,208.6892,53.9043,
NGC5457,UGC8882,209.3112,54.1008,
NGC5457,dw1403p5337,210.7728,53.6147,
NGC5457,dw1403p5356,210.9373,53.9437,
NGC5457,NGC5474,211.2561,53.6617,
NGC5457,dw1406p5344,211.708,53.7413,
NGC5457,dw1408p5419,212.1561,54.3254,
NGC6744,dw1905m6316,286.4831,-63.2721,
NGC6744,dw1906m6357,286.7415,-63.9636,
NGC6744,dw1907m6342,286.8439,-63.7064,
NGC6744,dw1908m6343,287.183,-63.7301,
NGC6744,dw1911m6413,287.8437,-64.2226,
NGC6744,dw1859m6402,284.8605,-64.0396,
NGC6744,dw1901m6315,285.3732,-63.2594,
NGC6744,dw1903m6449,285.843,-64.8277,
NGC6744,dw1903m6405,285.9146,-64.0985,
NGC6744,dw1909m6341,287.2847,-63.6853,
NGC6744,dw1912m6432,288.0953,-64.5419,
NGC0448,MATLAS-1,18.2998,-2.0792,
NGC0448,MATLAS-2,18.3236,-1.1708,
NGC0448,MATLAS-3,18.3396,-1.8231,
NGC0448,MATLAS-4,18.4198,-1.9169,
NGC0448,MATLAS-5,18.6778,-1.0972,
NGC0448,MATLAS-6,18.6875,-1.2415,
NGC0448,MATLAS-7,18.7193,-1.0953,
NGC0448,MATLAS-8,18.7567,-1.4806,
NGC0448,MATLAS-9,18.7782,-1.2741,
NGC0448,MATLAS-10,18.7949,-1.4718,
NGC0448,MATLAS-11,18.7967,-1.1504,
NGC0448,MATLAS-12,18.8185,-1.5824,
NGC0448,MATLAS-13,18.8402,-1.1981,
NGC0448,MATLAS-14,18.9516,-1.3149,
NGC0448,MATLAS-15,18.9577,-1.3915,
NGC0448,MATLAS-16,18.9681,-1.4602,
NGC0448,MATLAS-17,19.1392,-1.8167,
NGC0448,MATLAS-18,19.2337,-2.0258,
NGC0474,MATLAS-19,19.5589,2.9039,
NGC0474,MATLAS-20,19.5843,3.4333,
NGC0474,MATLAS-21,19.5941,3.3277,
NGC0474,MATLAS-22,19.6847,3.4907,
NGC0474,MATLAS-23,19.7116,3.5617,
NGC0474,MATLAS-24,19.848,3.2397,
NGC0474,MATLAS-25,19.8589,3.3597,
NGC0474,MATLAS-26,19.9304,3.2466,
NGC0474,MATLAS-27,20.0623,3.6167,
NGC0474,MATLAS-28,20.119,3.6088,
NGC0474,MATLAS-29,20.1466,3.1456,
NGC0502,MATLAS-30,20.2758,8.6653,
NGC0502,MATLAS-31,20.3402,8.8382,
NGC0502,MATLAS-32,20.3638,9.1801,
NGC0474,MATLAS-33,20.3849,3.6714,
NGC0474,MATLAS-34,20.3962,3.5636,
NGC0474,MATLAS-35,20.4945,3.9712,
NGC0502,MATLAS-36,20.5175,8.9702,
NGC0502,MATLAS-37,20.531,9.1407,
NGC0502,MATLAS-38,20.5753,9.1776,
NGC0502,MATLAS-39,20.5831,9.0089,
NGC0502,MATLAS-40,20.5962,9.0368,
NGC0502,MATLAS-41,20.6222,8.7659,
NGC0502,MATLAS-42,20.626,8.7614,
NGC0502,MATLAS-43,20.6259,8.7853,
NGC0502,MATLAS-44,20.6799,9.4184,
NGC0502,MATLAS-45,20.6999,9.1027,
NGC0525,MATLAS-46,20.7054,9.7262,
NGC0502,MATLAS-47,20.7197,9.1419,
NGC0502,MATLAS-48,20.734,8.6737,
NGC0502,MATLAS-49,20.7644,9.1019,
NGC0502,MATLAS-50,20.7645,9.3516,
NGC0502,MATLAS-51,20.7996,9.2761,
NGC0502,MATLAS-52,20.7998,8.7176,
NGC0502,MATLAS-53,20.8013,8.8922,
NGC0502,MATLAS-54,20.8212,9.3629,
NGC0524,MATLAS-55,20.8342,9.4761,
NGC0502,MATLAS-56,20.8424,9.1637,
NGC0502,MATLAS-57,20.847,9.0136,
NGC0502,MATLAS-58,20.8537,8.9194,
NGC0525,MATLAS-59,20.8548,9.7517,
NGC0502,MATLAS-60,20.8566,8.9779,
NGC0502,MATLAS-61,20.8817,9.2798,
NGC0524,MATLAS-62,20.959,9.4115,
NGC0525,MATLAS-63,20.9594,9.7984,
NGC0502,MATLAS-64,20.9858,9.0735,
NGC0525,MATLAS-65,20.9905,10.1382,
NGC0524,MATLAS-66,21.0339,9.6318,
NGC0525,MATLAS-67,21.0381,9.8522,
NGC0524,MATLAS-68,21.043,9.2823,
NGC0502,MATLAS-69,21.0565,8.5232,
NGC0525,MATLAS-70,21.0623,9.7424,
NGC0525,MATLAS-71,21.0757,9.7595,
NGC0524,MATLAS-72,21.0758,9.4856,
NGC0502,MATLAS-73,21.0794,8.8299,
NGC0525,MATLAS-74,21.0877,9.7005,
NGC0525,MATLAS-75,21.0934,10.0359,
NGC0524,MATLAS-76,21.0949,9.4394,
NGC0524,MATLAS-77,21.1004,9.388,
NGC0502,MATLAS-78,21.1104,8.7518,
NGC0525,MATLAS-79,21.1257,9.8418,
NGC0525,MATLAS-80,21.1332,9.8867,
NGC0502,MATLAS-81,21.1349,8.563,
NGC0524,MATLAS-82,21.1424,9.5758,
NGC0524,MATLAS-83,21.1501,9.4704,
NGC0525,MATLAS-84,21.1514,10.1668,
NGC0525,MATLAS-85,21.1687,9.795,
NGC0525,MATLAS-86,21.1724,9.8724,
NGC0524,MATLAS-87,21.1941,9.1329,
NGC0524,MATLAS-88,21.216,9.1138,
NGC0525,MATLAS-89,21.2179,9.843,
NGC0524,MATLAS-90,21.2233,9.2294,
NGC0524,MATLAS-91,21.2401,9.6221,
NGC0524,MATLAS-92,21.2582,9.3754,
NGC0524,MATLAS-93,21.2836,9.6079,
NGC0524,MATLAS-94,21.2896,9.1832,
NGC0524,MATLAS-95,21.3583,9.623,
NGC0524,MATLAS-96,21.3662,9.5847,
NGC0525,MATLAS-97,21.3665,9.8415,
NGC0525,MATLAS-98,21.3793,9.6573,
NGC0524,MATLAS-99,21.4067,9.2309,
NGC0525,MATLAS-100,21.4236,10.1203,
NGC0524,MATLAS-101,21.4294,9.5553,
NGC0525,MATLAS-102,21.4601,9.6696,
NGC0525,MATLAS-103,21.4671,9.6277,
NGC0525,MATLAS-104,21.5084,9.8939,
NGC0525,MATLAS-105,21.5397,9.62,
NGC0524,MATLAS-106,21.5453,9.5302,
NGC0525,MATLAS-107,21.5852,10.1517,
NGC0525,MATLAS-108,21.7314,9.7682,
NGC0661,MATLAS-109,25.6316,28.1847,
NGC0661,MATLAS-110,25.7293,28.8959,
NGC0661,MATLAS-111,25.7514,28.5441,
NGC0661,MATLAS-112,25.8728,28.7761,
NGC0661,MATLAS-113,25.9086,28.9173,
NGC0661,MATLAS-114,26.1341,28.6065,
NGC0661,MATLAS-115,26.1497,28.6458,
NGC0661,MATLAS-116,26.2854,29.0262,
NGC0661,MATLAS-117,26.3186,28.7146,
NGC0661,MATLAS-118,26.3511,28.375,
NGC0661,MATLAS-119,26.416,28.5031,
NGC0661,MATLAS-120,26.4259,28.7404,
NGC0661,MATLAS-121,26.5425,28.8157,
NGC0680,MATLAS-122,26.9508,22.1426,
NGC0680,MATLAS-123,27.1884,22.1089,
NGC0680,MATLAS-124,27.2047,21.5792,
NGC0680,MATLAS-125,27.2088,22.1143,
NGC0680,MATLAS-126,27.2889,22.0435,
NGC0680,MATLAS-127,27.4368,22.3744,
NGC0680,MATLAS-128,27.4706,22.4427,
NGC0680,MATLAS-129,27.572,22.0363,
NGC0680,MATLAS-130,27.573,22.0601,
NGC0680,MATLAS-131,27.6099,21.9517,
NGC0680,MATLAS-132,27.6409,22.0435,
NGC0680,MATLAS-133,27.6792,21.9318,
NGC0680,MATLAS-134,27.7089,21.482,
NGC0680,MATLAS-135,27.7158,22.0392,
NGC0680,MATLAS-136,27.8001,21.997,
NGC0680,MATLAS-137,27.835,22.2765,
NGC0680,MATLAS-138,27.8987,22.294,
NGC0680,MATLAS-139,27.9342,22.3327,
NGC0680,MATLAS-140,27.9586,22.309,
NGC0770,MATLAS-141,29.4714,18.8628,
NGC0770,MATLAS-142,29.765,19.5476,
NGC0770,MATLAS-143,29.8144,18.4778,
NGC0770,MATLAS-144,29.8322,18.7472,
